Country,Region,Locality,time,temperature,Latitude,Longitude,nearest_lat,nearest_lon
China,Heilongjang,Yichun,2006-01-17,-30.297989,47.73,128.84,47.5,129.0
China,Heilongjang,Yichun,2010-12-13,-31.273148,47.73,128.84,47.5,129.0
China,Heilongjang,Yichun,2011-01-13,-30.087738,47.73,128.84,47.5,129.0
China,Heilongjang,Yichun,2011-01-14,-30.726913,47.73,128.84,47.5,129.0
China,Heilongjang,Yichun,2012-12-23,-30.971725,47.73,128.84,47.5,129.0
China,Heilongjang,Yichun,2012-12-26,-31.612625,47.73,128.84,47.5,129.0
China,Heilongjang,Yichun,2012-12-31,-30.792343,47.73,128.84,47.5,129.0
China,Heilongjang,Yichun,2013-01-01,-31.46846,47.73,128.84,47.5,129.0
China,Heilongjang,Yichun,2013-01-07,-30.232147,47.73,128.84,47.5,129.0
China,Heilongjang,Yichun,2013-01-08,-31.250809,47.73,128.84,47.5,129.0
China,Heilongjang,Yichun,2013-01-09,-31.226837,47.73,128.84,47.5,129.0
China,Heilongjang,Yichun,2013-01-10,-30.190384,47.73,128.84,47.5,129.0
China,Heilongjang,Yichun,2014-01-12,-30.572739,47.73,128.84,47.5,129.0
China,Heilongjang,Yichun,2018-01-22,-32.364365,47.73,128.84,47.5,129.0
China,Heilongjang,Yichun,2018-01-23,-33.18669,47.73,128.84,47.5,129.0
China,Heilongjang,Yichun,2018-01-24,-31.829025,47.73,128.84,47.5,129.0
China,Jilin,Changchun City,2011-01-15,-30.163345,43.46,125.27,43.5,125.5
China,Jilin,"Changchun, Dongfenqu/ Jingyuetan",2011-01-15,-30.438889,42.66,125.49,42.5,125.5
China,Jilin,"Changchun, Jingyuetan Forest Park",2011-01-15,-31.405197,43.77,125.5,44.0,125.5
China,Jilin,"Changchun, Jingyuetan Forest Park",2012-12-23,-30.281952,43.77,125.5,44.0,125.5
China,Jilin,"Changchun, Laoniujuan/ Jingyuetan",2011-01-15,-31.405197,43.77,125.48,44.0,125.5
China,Jilin,"Changchun, Laoniujuan/ Jingyuetan",2012-12-23,-30.281952,43.77,125.48,44.0,125.5
China,Jilin,Jiang Nan Forest,2009-12-30,-30.37059,43.8,126.77,44.0,127.0
China,Jilin,Jiang Nan Forest,2010-12-24,-30.137482,43.8,126.77,44.0,127.0
China,Jilin,Jiang Nan Forest,2011-01-15,-31.768646,43.8,126.77,44.0,127.0
China,Jilin,Jiang Nan Forest,2018-01-25,-30.502365,43.8,126.77,44.0,127.0
China,Jilin,Jiaohe Experimental Forest,2011-01-15,-30.397064,43.69,127.32,43.5,127.5
China,Jilin,Jiaohe Experimental Forest,2018-01-24,-30.749771,43.69,127.32,43.5,127.5
China,Jilin,Jiaohe Experimental Forest,2018-01-25,-30.538498,43.69,127.32,43.5,127.5
China,Jilin,Jilin City,2010-12-24,-30.065048,43.43,126.41,43.5,126.5
China,Jilin,Jilin City,2011-01-15,-31.687271,43.43,126.41,43.5,126.5
China,Jilin,Jiutai,2011-01-15,-31.405197,44.09,125.49,44.0,125.5
China,Jilin,Jiutai,2012-12-23,-30.281952,44.09,125.49,44.0,125.5
China,Jilin,Songhuahu Nature Reserve,2010-12-24,-30.065048,43.73,126.66,43.5,126.5
China,Jilin,Songhuahu Nature Reserve,2011-01-15,-31.687271,43.73,126.66,43.5,126.5
Russia,Kaluga,Maloyaroslavets,2003-01-07,-31.078644,55.009746,36.465225,55.0,36.5
Russia,Kaluga,Maloyaroslavets,2006-01-18,-31.699234,55.009746,36.465225,55.0,36.5
Russia,Kaluga,Maloyaroslavets,2006-01-19,-30.483551,55.009746,36.465225,55.0,36.5
Russia,Kaluga,Maloyaroslavets,2006-02-08,-30.332382,55.009746,36.465225,55.0,36.5
Russia,Kaluga,"Калужская область, Калуга",2003-01-07,-31.369827,54.517095999999995,36.255569,54.5,36.5
Russia,Kaluga,"Калужская область, Калуга",2006-01-18,-32.251144,54.517095999999995,36.255569,54.5,36.5
Russia,Kaluga,"Калужская область, Калуга",2006-01-19,-30.608063,54.517095999999995,36.255569,54.5,36.5
Russia,Kaluga,"Калужская область, Калуга",2006-02-08,-30.726913,54.517095999999995,36.255569,54.5,36.5
Russia,Kaluga,"Калужская область, Обнинск",2003-01-07,-31.078644,55.092515,36.609535,55.0,36.5
Russia,Kaluga,"Калужская область, Обнинск",2006-01-18,-31.699234,55.092515,36.609535,55.0,36.5
Russia,Kaluga,"Калужская область, Обнинск",2006-01-19,-30.483551,55.092515,36.609535,55.0,36.5
Russia,Kaluga,"Калужская область, Обнинск",2006-02-08,-30.332382,55.092515,36.609535,55.0,36.5
Russia,Khabarovskyi kr.,"Khabarovsk, 25 Kilometr",2010-01-12,-30.109024,48.25,135.05,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, 25 Kilometr",2010-01-13,-33.124557,48.25,135.05,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, 25 Kilometr",2010-01-14,-30.329117,48.25,135.05,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, 25 Kilometr",2011-01-07,-30.124542,48.25,135.05,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, 25 Kilometr",2011-01-08,-32.043137,48.25,135.05,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, 25 Kilometr",2011-01-09,-31.093369,48.25,135.05,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, 25 Kilometr",2011-01-13,-32.2173,48.25,135.05,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, 25 Kilometr",2011-01-14,-32.282578,48.25,135.05,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, 25 Kilometr",2012-01-10,-30.108322,48.25,135.05,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, 25 Kilometr",2013-01-07,-30.746628,48.25,135.05,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, 25 Kilometr",2013-01-08,-31.226227,48.25,135.05,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, 25 Kilometr",2013-01-09,-32.320587,48.25,135.05,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, 25 Kilometr",2013-01-10,-30.19429,48.25,135.05,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, 25 Kilometr",2014-01-12,-30.603989,48.25,135.05,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, 25 Kilometr",2014-01-13,-31.22609,48.25,135.05,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Arboretum",2010-01-12,-30.109024,48.28,135.06,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Arboretum",2010-01-13,-33.124557,48.28,135.06,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Arboretum",2010-01-14,-30.329117,48.28,135.06,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Arboretum",2011-01-07,-30.124542,48.28,135.06,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Arboretum",2011-01-08,-32.043137,48.28,135.06,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Arboretum",2011-01-09,-31.093369,48.28,135.06,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Arboretum",2011-01-13,-32.2173,48.28,135.06,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Arboretum",2011-01-14,-32.282578,48.28,135.06,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Arboretum",2012-01-10,-30.108322,48.28,135.06,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Arboretum",2013-01-07,-30.746628,48.28,135.06,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Arboretum",2013-01-08,-31.226227,48.28,135.06,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Arboretum",2013-01-09,-32.320587,48.28,135.06,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Arboretum",2013-01-10,-30.19429,48.28,135.06,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Arboretum",2014-01-12,-30.603989,48.28,135.06,48.5,135.0
